ID,pixelcount,UTM
3772992,95,33N
3774471,79,33N
3776447,492,33N
3776448,29,33N
3789422,173,33N
3789420,86,33N
3789419,0,33N
3789417,5,33N
3789423,245,33N
3789424,162,33N
3788017,276,33N
3788019,0,33N
3789530,13,33N
3789523,13,33N
3789531,120,33N
3789524,340,33N
3789526,53,33N
3789525,177,33N
3792255,9,33N
3792256,7,33N
3792259,483,33N
3792258,484,33N
3792257,615,33N
3792261,212,33N
3792262,193,33N
3792260,4,33N
3792265,123,33N
3792263,454,33N
3792264,82,33N
3854415,816,33N
3854416,508,33N
3854417,0,33N
3854414,2,33N
3854413,414,33N
3854412,0,33N
3860848,165,33N
3860846,10,33N
3860845,575,33N
3860847,172,33N
3860856,183,33N
3860854,40,33N
3860855,275,33N
3873148,0,33N
3873149,0,33N
3873150,0,33N
3873152,0,33N
3873153,0,33N
3873151,638,33N
3873147,67,33N
3879332,26,33N
3879331,5,33N
3879336,11,33N
3879338,452,33N
3879333,8,33N
3879335,489,33N
3879334,719,33N
3879337,209,33N
3880814,118,33N
3880815,328,33N
3880813,163,33N
3889771,28,33N
3889773,1,33N
3889774,14,33N
3889772,10,33N
3931131,56,33N
3947637,2,33N
3947639,0,33N
3947636,3,33N
3947638,0,33N
3948932,16,33N
3948928,65,33N
3948929,363,33N
3948931,267,33N
3948930,58,33N
3950190,105,33N
3952032,212,33N
3952031,244,33N
3952036,252,33N
3952035,142,33N
3952034,217,33N
3952033,183,33N
3956804,143,33N
3956805,18,33N
3956870,314,33N
3956871,220,33N
3956873,110,33N
3956872,95,33N
3957975,84,33N
3957976,17,33N
3957974,94,33N
3958230,0,33N
3958231,130,33N
3958233,74,33N
3958236,4,33N
3958239,397,33N
3958240,6,33N
3958235,163,33N
3958238,5,33N
3958347,64,33N
3958348,2,33N
3959637,609,33N
3959636,0,33N
3959633,294,33N
3959635,369,33N
3959634,0,33N
3962617,38,33N
3962620,9,33N
3962618,315,33N
3963889,468,33N
3963890,281,33N
3963891,8,33N
3968653,385,33N
3968654,55,33N
3968651,1,33N
3968656,1,33N
3968658,57,33N
3968657,1,33N
3968655,2,33N
3970330,0,33N
3970329,7,33N
3971803,0,33N
3971806,409,33N
3971804,3,33N
3971805,259,33N
4073848,353,33N
4078521,361,33N
4078524,0,33N
4078526,0,33N
4078528,1,33N
4078527,20,33N
4078525,21,33N
4083413,0,33N
4083412,858,33N
4084822,504,33N
4099078,0,33N
4099077,135,33N
4099081,237,33N
4099079,180,33N
4099080,60,33N
4099076,155,33N
4111969,15,33N
4111970,2,33N
4111973,0,33N
4111967,199,33N
4111972,0,33N
4111968,15,33N
4111971,77,33N
4113614,0,33N
4113615,22,33N
4113613,289,33N
4151672,0,33N
4151671,193,33N
4151673,151,33N
4163693,124,33N
4163692,4,33N
4163697,0,33N
4163695,99,33N
4163694,100,33N
4163696,250,33N
4194753,238,33N
4196076,201,33N
4196077,342,33N
4196074,9,33N
4196073,53,33N
4196075,172,33N
4196079,142,33N
4196078,110,33N
4199847,124,33N
4199846,110,33N
4199848,228,33N
4199845,69,33N
4199849,24,33N
4220877,46,33N
4220879,14,33N
4220892,0,33N
4220878,252,33N
4224602,133,33N
4224586,193,33N
4224608,109,33N
4224589,0,33N
4224582,16,33N
4223521,17,33N
4223522,90,33N
4224605,117,33N
4233378,1,33N
4233379,27,33N
4233380,38,33N
4233383,116,33N
4233377,362,33N
4236697,0,33N
4236695,127,33N
4236696,54,33N
4236690,173,33N
4236785,52,33N
4249938,0,33N
4249937,92,33N
4249936,4,33N
4249939,0,33N
4249941,18,33N
4249943,186,33N
4249940,1,33N
4249942,173,33N
4251544,164,33N
4251545,50,33N
4256401,77,33N
4259082,177,33N
4300691,42,33N
4300686,100,33N
4300687,256,33N
4300693,6,33N
4300694,305,33N
4302299,0,33N
4305432,154,33N
4305434,305,33N
4305430,168,33N
4305433,307,33N
4312767,0,33N
4314306,283,33N
4315691,0,33N
4315688,11,33N
4315687,60,33N
4315689,151,33N
4315690,0,33N
4317596,239,33N
4322085,101,33N
4322087,9,33N
4322086,10,33N
4322089,399,33N
4322091,472,33N
4323966,258,33N
4323970,97,33N
4323969,598,33N
4377334,783,33N
4377330,176,33N
4377336,429,33N
4377331,27,33N
4377333,100,33N
4377335,217,33N
4377337,50,33N
4377338,532,33N
4398044,1,33N
4410724,17,33N
4418520,418,33N
4421672,70,33N
4421671,1,33N
4421673,0,33N
4421675,1,33N
4421676,166,33N
4421678,62,33N
4421669,3,33N
4421679,0,33N
4421668,297,33N
4426962,0,33N
4426967,0,33N
4426970,0,33N
4426971,0,33N
4426964,142,33N
4426961,0,33N
4426966,1,33N
4426982,139,33N
4426973,21,33N
4426977,130,33N
4426974,198,33N
4426979,90,33N
4426983,250,33N
4426972,0,33N
4428305,0,33N
4428301,108,33N
4428307,0,33N
4428304,178,33N
4428302,5,33N
4428312,120,33N
4428319,156,33N
4428317,19,33N
4428322,9,33N
4428323,0,33N
4428308,179,33N
4428324,15,33N
4443643,16,33N
4443644,11,33N
4443648,3,33N
4456353,136,33N
4456488,460,33N
4465430,248,33N
4471998,0,33N
4472396,20,33N
4482260,140,33N
4482261,0,33N
4482259,7,33N
4513690,28,33N
4536563,66,33N
4536566,164,33N
4536565,30,33N
4536567,78,33N
4536570,0,33N
4536568,119,33N
4536572,138,33N
4536564,3,33N
4536571,72,33N
4537417,0,33N
4539417,109,33N
4539414,138,33N
4539737,198,33N
4542579,10,33N
4542580,65,33N
4543055,18,33N
4551480,112,33N
4551481,303,33N
4551478,340,33N
4556945,551,33N
4562302,338,33N
4577416,17,33N
4572863,354,33N
4603522,10,33N
4617185,378,33N
4648193,0,33N
4648384,151,33N
4648386,127,33N
